# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	DOCULECT	TOKENS	CONCEPT	QLCID	COUNTERPART
24434	tuyuca	d o k a	ABAJO_DOWN	huber1992/tuyuca/ABAJO_DOWN	doká
24969	waimaja	d o k a	ABAJO_DOWN	huber1992/waimaja/ABAJO_DOWN	doká
25431	wounaan	e e g	ABAJO_DOWN	huber1992/wounaan/ABAJO_DOWN	eeg
25821	wanano	d o k a	ABAJO_DOWN	huber1992/wanano/ABAJO_DOWN	doka
26358	wayuu	m o l u ʔ u	ABAJO_DOWN	huber1992/wayuu/ABAJO_DOWN	móluʔu
26359	wayuu	m m o l u ʔ u	ABAJO_DOWN	huber1992/wayuu/ABAJO_DOWN	mmóluʔu
26360	wayuu	u n a a p i̵ n a a	ABAJO_DOWN	huber1992/wayuu/ABAJO_DOWN	unáapi̵naa
26785	yucuna	k a w a k a	ABAJO_DOWN	huber1992/yucuna/ABAJO_DOWN	kawaká
27129	yukpa	k a m p a n o	ABAJO_DOWN	huber1992/yukpa/ABAJO_DOWN	kámpano
27514	yurutí	d o k a a	ABAJO_DOWN	huber1992/yurutí/ABAJO_DOWN	dókaa
#
142	kamsá	t x o w a n a	ABEJA_BEE	huber1992/kamsá/ABEJA_BEE	txowána
1395	achagua	m a a b a	ABEJA_BEE	huber1992/achagua/ABEJA_BEE	máaba
1787	epena Saija	kʰ i m i	ABEJA_BEE	huber1992/epena Saija/ABEJA_BEE	kʰími
2172	awa	w ã	ABEJA_BEE	huber1992/awa/ABEJA_BEE	wã
2173	awa	w a l k a n	ABEJA_BEE	huber1992/awa/ABEJA_BEE	walkan
2174	awa	w i m a l	ABEJA_BEE	huber1992/awa/ABEJA_BEE	wimal
2563	epena basurudó	kʰ i kʰ i m i	ABEJA_BEE	huber1992/epena basurudó/ABEJA_BEE	kʰikʰimí
3035	bora	i i m ɯ ʔ o e x pʰ i	ABEJA_BEE	huber1992/bora/ABEJA_BEE	íímɯ́ʔóexpʰi
3036	bora	t e ʔ tsʰ i p a	ABEJA_BEE	huber1992/bora/ABEJA_BEE	téʔtsʰipa
3635	giacone	ɲ o r o r e d a	ABEJA_BEE	huber1992/giacone/ABEJA_BEE	ɲororeda
3916	barí	m o o n ə	ABEJA_BEE	huber1992/barí/ABEJA_BEE	moonə
4236	bará	b ũ b ĩ ã b ĩ̵	ABEJA_BEE	huber1992/bará/ABEJA_BEE	bũbĩãbĩ̵
4664	guahibo	b a n a m a n i̵ t o	ABEJA_BEE	huber1992/guahibo/ABEJA_BEE	banamani̵to
4665	guahibo	h a: b i̵ m a n i̵ t o	ABEJA_BEE	huber1992/guahibo/ABEJA_BEE	ha:bi̵máni̵to
5167	barasana	b e r o a b ĩ̵	ABEJA_BEE	huber1992/barasana/ABEJA_BEE	beroabĩ̵
5168	barasana	b e r o a b i̵ k i̵	ABEJA_BEE	huber1992/barasana/ABEJA_BEE	beroabi̵ki̵
5169	barasana	h õ b ĩ ã b ĩ̵	ABEJA_BEE	huber1992/barasana/ABEJA_BEE	hõbĩãbĩ̵
5703	secoya	o ʔ a	ABEJA_BEE	huber1992/secoya/ABEJA_BEE	oʔa
6060	cha'palaachi	t a n d a	ABEJA_BEE	huber1992/cha'palaachi/ABEJA_BEE	tanda
6389	guambiano	m a w a ĩ	ABEJA_BEE	huber1992/guambiano/ABEJA_BEE	mawaĩ
6776	cuiba	b a n t o m a n t o	ABEJA_BEE	huber1992/cuiba/ABEJA_BEE	bantománto
7231	carijona	a r a m a	ABEJA_BEE	huber1992/carijona/ABEJA_BEE	arama
7606	macuna	b e r o a b i̵ k i̵	ABEJA_BEE	huber1992/macuna/ABEJA_BEE	beroabi̵ki̵
8395	guayabero	h i̵ a t	ABEJA_BEE	huber1992/guayabero/ABEJA_BEE	hi̵at
8396	guayabero	b a n t	ABEJA_BEE	huber1992/guayabero/ABEJA_BEE	bant
8826	embera chamí	kʰ ũ ɾ ã b a ɾ i	ABEJA_BEE	huber1992/embera chamí/ABEJA_BEE	kʰũɾãbaɾí
9221	carapana	b e r o a b ĩ̵	ABEJA_BEE	huber1992/carapana/ABEJA_BEE	beroábĩ̵
9598	curripaco	m a a p a	ABEJA_BEE	huber1992/curripaco/ABEJA_BEE	maapa
9944	ika	a n g a	ABEJA_BEE	huber1992/ika/ABEJA_BEE	ánga
10338	catío	kʰ õ ɾ ã b a ɾ i	ABEJA_BEE	huber1992/catío/ABEJA_BEE	kʰõɾãbaɾí
10742	cubeo	b ũ b ĩ d i̵	ABEJA_BEE	huber1992/cubeo/ABEJA_BEE	bũbĩ́di̵
10743	cubeo	k a i d ẽ d i̵	ABEJA_BEE	huber1992/cubeo/ABEJA_BEE	kaidẽ́di̵
11193	muinane	n i̵ i̵ b i̵ r i	ABEJA_BEE	huber1992/muinane/ABEJA_BEE	ní̵í̵bi̵ri
11194	muinane	m i̵ i̵ b i̵ r i ʔ i̵	ABEJA_BEE	huber1992/muinane/ABEJA_BEE	mí̵i̵bi̵riʔi̵
11703	desano	b õ b ẽ b ĩ̵	ABEJA_BEE	huber1992/desano/ABEJA_BEE	bõbẽ́bĩ̵
12080	inga	a b i x	ABEJA_BEE	huber1992/inga/ABEJA_BEE	abix
12451	dí̵mi̵na	n i̵ n g a	ABEJA_BEE	huber1992/dí̵mi̵na/ABEJA_BEE	ni̵nga
12835	embera Darién	kʰ i m i	ABEJA_BEE	huber1992/embera Darién/ABEJA_BEE	kʰimí
13167	nukak	ʔ e w e	ABEJA_BEE	huber1992/nukak/ABEJA_BEE	ʔewe⁴
13509	jupda	w o w o h	ABEJA_BEE	huber1992/jupda/ABEJA_BEE	wowoh
13826	jitnu	t o n i a t	ABEJA_BEE	huber1992/jitnu/ABEJA_BEE	toniát
14191	koreguaje	o ʔ a	ABEJA_BEE	huber1992/koreguaje/ABEJA_BEE	oʔa
14603	páez	ʃ i ʔ dʲ	ABEJA_BEE	huber1992/páez/ABEJA_BEE	ʃiʔdʲ
14604	páez	ʧ i ʔ dʲ	ABEJA_BEE	huber1992/páez/ABEJA_BEE	ʧiʔdʲ
15039	kakua	b e l o	ABEJA_BEE	huber1992/kakua/ABEJA_BEE	belo⁴
15488	witoto mi̵ni̵ca	h i r a ŋ o	ABEJA_BEE	huber1992/witoto mi̵ni̵ca/ABEJA_BEE	hiráŋo
15920	kogui	h a l d i k k ə b b e	ABEJA_BEE	huber1992/kogui/ABEJA_BEE	haldikkə́bbe
16328	witoto ni̵pode	h i r a ŋ o	ABEJA_BEE	huber1992/witoto ni̵pode/ABEJA_BEE	hiráŋo
16788	miraña	i i m ɯ ʔ o e h pʰ i	ABEJA_BEE	huber1992/miraña/ABEJA_BEE	íímɯ́ʔóehpʰi
16789	miraña	t e ʔ tsʰ i p a	ABEJA_BEE	huber1992/miraña/ABEJA_BEE	téʔtsʰipa
17209	piratapuyo	u b ĩ k ĩ̵ d ĩ̵	ABEJA_BEE	huber1992/piratapuyo/ABEJA_BEE	ubĩkĩ̵dĩ̵
17611	playero	b a n a m i̵ t o	ABEJA_BEE	huber1992/playero/ABEJA_BEE	banamí̵to
18032	witoto murui	h i r a k ɯ ɲ o	ABEJA_BEE	huber1992/witoto murui/ABEJA_BEE	hirakɯɲo
18487	ocaina	dʲ o ʔ ɯ ɯ r a k o	ABEJA_BEE	huber1992/ocaina/ABEJA_BEE	dʲoʔɯ́ɯ́rako
18913	orejón	o a	ABEJA_BEE	huber1992/orejón/ABEJA_BEE	oa
19240	piapoco	m a a b a	ABEJA_BEE	huber1992/piapoco/ABEJA_BEE	máaba
19657	puinave	a m	ABEJA_BEE	huber1992/puinave/ABEJA_BEE	am
19658	puinave	d ə m	ABEJA_BEE	huber1992/puinave/ABEJA_BEE	dəm
20009	resígaro	m a a p u	ABEJA_BEE	huber1992/resígaro/ABEJA_BEE	maápú
20372	sáliba	m u ĩ g o d i	ABEJA_BEE	huber1992/sáliba/ABEJA_BEE	muĩgodi
20726	siona	o ʔ a	ABEJA_BEE	huber1992/siona/ABEJA_BEE	oʔa
21089	siriano	w ã r ã r ĩ	ABEJA_BEE	huber1992/siriano/ABEJA_BEE	wãrã́rĩ́
21090	siriano	b e ʔ r o a b ĩ̵	ABEJA_BEE	huber1992/siriano/ABEJA_BEE	beʔróabĩ̵
21466	tatuyo	b e r o a b ĩ̵	ABEJA_BEE	huber1992/tatuyo/ABEJA_BEE	béróábĩ̵
21847	tucano	b ũ b ĩ ã w ĩ̵	ABEJA_BEE	huber1992/tucano/ABEJA_BEE	bũbĩã́wĩ̵
22248	embera Tadó	kʰ i m i	ABEJA_BEE	huber1992/embera Tadó/ABEJA_BEE	kʰimí
22631	tanimuca	b ũ b ĩ ã	ABEJA_BEE	huber1992/tanimuca/ABEJA_BEE	bũbĩã
22999	tunebo central	a n u b a	ABEJA_BEE	huber1992/tunebo central/ABEJA_BEE	anubá
23000	tunebo central	a n b a	ABEJA_BEE	huber1992/tunebo central/ABEJA_BEE	anbá
23539	tsafiqui pila	ts i n a	ABEJA_BEE	huber1992/tsafiqui pila/ABEJA_BEE	tsina
23870	totoró	p i̵ l i̵ m # m i e l	ABEJA_BEE	huber1992/totoró/ABEJA_BEE	pi̵li̵m miel
24206	tuyuca	b ũ b ĩ ã w ĩ̵	ABEJA_BEE	huber1992/tuyuca/ABEJA_BEE	bũbĩ́ãwĩ̵
24638	waimaja	u t i a b ĩ̵	ABEJA_BEE	huber1992/waimaja/ABEJA_BEE	utiábĩ̵
24639	waimaja	b e r o a b ĩ̵	ABEJA_BEE	huber1992/waimaja/ABEJA_BEE	beroabĩ̵
25149	wounaan	kʰ e kʰ e m a n	ABEJA_BEE	huber1992/wounaan/ABEJA_BEE	kʰekʰeman
25586	wanano	b ĩ k ĩ d ã i r o	ABEJA_BEE	huber1992/wanano/ABEJA_BEE	bĩkĩdãiro
26025	wayuu	m a p a	ABEJA_BEE	huber1992/wayuu/ABEJA_BEE	mapá
26026	wayuu	ʃ i ʃ i # m a p a	ABEJA_BEE	huber1992/wayuu/ABEJA_BEE	ʃiʃí mapá
26548	yucuna	m u n u m u n u	ABEJA_BEE	huber1992/yucuna/ABEJA_BEE	munúmunú
26919	yukpa	m ĩ̵ k a m a	ABEJA_BEE	huber1992/yukpa/ABEJA_BEE	mĩ̵káma
26920	yukpa	e m i̵	ABEJA_BEE	huber1992/yukpa/ABEJA_BEE	émi̵
