# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
1109	huber1992/English/BEBE_DRINK	BEBE_DRINK	drink	English	d r i n k
1877	huber1992/epena Saija/BEBE_DRINK	BEBE_DRINK	tóhi	epena Saija	t ó h i
2258	huber1992/awa/BEBE_DRINK	BEBE_DRINK	kwat	awa	k w a t
2641	huber1992/epena basurudó/BEBE_DRINK	BEBE_DRINK	tóhi	epena basurudó	t ó h i
3174	huber1992/bora/BEBE_DRINK	BEBE_DRINK	tátoó	bora	t á t o ó
3688	huber1992/giacone/BEBE_DRINK	BEBE_DRINK	nuirani	giacone	n u i r a n i
3969	huber1992/barí/BEBE_DRINK	BEBE_DRINK	ti̵i̵rabaʔ	barí	t i̵ i̵ r a b a ʔ
4319	huber1992/bará/BEBE_DRINK	BEBE_DRINK	hĩdĩjã́	bará	h ĩ d ĩ j ã́
4780	huber1992/guahibo/BEBE_DRINK	BEBE_DRINK	apáema	guahibo	a p á e m a
5263	huber1992/barasana/BEBE_DRINK	BEBE_DRINK	idíja	barasana	i d í j a
5775	huber1992/secoya/BEBE_DRINK	BEBE_DRINK	ũkuhĩ̵ʔĩ̵	secoya	ũ k u h ĩ̵ ʔ ĩ̵
6140	huber1992/cha'palaachi/BEBE_DRINK	BEBE_DRINK	kuʃde	cha'palaachi	k u ʃ d e
6467	huber1992/guambiano/BEBE_DRINK	BEBE_DRINK	muʧi	guambiano	m u ʧ i
6889	huber1992/cuiba/BEBE_DRINK	BEBE_DRINK	ápare	cuiba	á p a r e
7315	huber1992/carijona/BEBE_DRINK	BEBE_DRINK	enikɯ	carijona	e n i k ɯ
7694	huber1992/macuna/BEBE_DRINK	BEBE_DRINK	idija	macuna	i d i j a
8073	huber1992/chimila/BEBE_DRINK	BEBE_DRINK	úkku	chimila	ú k k u
8500	huber1992/guayabero/BEBE_DRINK	BEBE_DRINK	minɸém	guayabero	m i n ɸ é m
8919	huber1992/embera chamí/BEBE_DRINK	BEBE_DRINK	dóse	embera chamí	d ó s e
9308	huber1992/carapana/BEBE_DRINK	BEBE_DRINK	étija	carapana	é t i j a
9681	huber1992/curripaco/BEBE_DRINK	BEBE_DRINK	píra	curripaco	p í r a
10021	huber1992/ika/BEBE_DRINK	BEBE_DRINK	aʔgóu	ika	a ʔ g ó u
10426	huber1992/catío/BEBE_DRINK	BEBE_DRINK	doɾúa	catío	d o ɾ ú a
10834	huber1992/cubeo/BEBE_DRINK	BEBE_DRINK	ũkṹhãki̵	cubeo	ũ k ṹ h ã k i̵
11312	huber1992/muinane/BEBE_DRINK	BEBE_DRINK	dadú	muinane	d a d ú
11790	huber1992/desano/BEBE_DRINK	BEBE_DRINK	iʔhriké	desano	i ʔ h r i k é
12167	huber1992/inga/BEBE_DRINK	BEBE_DRINK	upjáj	inga	u p j á j
